Population_Density_2010,Population_2010,White_Population_2010,Black_Population_2010,Asian_Population_2010,All_Other_Races_2010,Hispanic_Latino_2010,Household_Income_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Commercial_Construction_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Bachelors_Degree_2015,High_School_Diploma_2015,Early_Care_Proximity_2015,SchoolAge_Proximity_2015,Library_Card_Prevalence_2015,Proficiency_Elementary_School_2014,Proficiency_Middle_School_2014,Proficiency_High_School_2014,Highschool_Graduation_Rate_2014,Student_Absenteeism_2014,Neighborhood_School_Attendance_2014,Voter_Participation_2015,Low_Cost_Healthcare_Proximity_2016,Grocery_Proximity_2015,Pharmacy_Proximity_2015,Park_Proximity_2015,Births_to_Adolescents_2014,Low_Birthweight_2014,Prenatal_Care_2014,Age_of_Death_2014,Public_Health_Insurance _2015,Housing_Density_2015,Single_Family_Housing_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Residential_Renovation_2015,Foreclosures_2015,Home_Sales_Price_2015,Housing_Violations_2015,Subsidized_Housing_2015,Home_Ownership_2015,Residential_Occupancy_2014,Rental_Costs_2014,Violent_Crime_Rate_2015,Property_Crime_Rate_2015,Disorder_Call_Rate_2015,Animal_Control_Call_Rate_2015,Fire_Call_Rate_2015,Nuisance_Violations_2015,Long_Commute_2014,Bicycle_Friendliness_2015,Street_Connectivity_2016,Sidewalk_Availability_2013,Transit_Proximity_2015,Transit_Ridership_2015
3,2980,56.4,31.5,1.5,3.4,7.2,74375,7,95,0.18,3082,15410,37,0,49,97,6,6,17,65.8,49.5,54.2,90,10,80,6,0,13,0,1,1.4,5.7,68.6,75,11,1,100,2045,21,10,0.8,1.6,157647,0.19,0,92,91,1466,1,8.4,31.3,21.6,1.3,0.5,77,1.7,1.03,35.7,13,
8,2656,36.9,32.1,3.9,2.6,24.6,55284,18,97,0.62,17736,70945,23,0,25,86,60,64,20,43.2,36.4,56.7,96,9,85,12,0,68,68,7,0,4.3,55.7,75,23,3.1,68,1544,18,16,1.25,1.4,110555,0,9,84,82,883,0.7,11.8,67.7,34.2,16.9,6.6,75,1.6,1.08,62.8,90,47
5,946,95.7,1.8,0.7,0.3,1.5,88095,1,97,6.18,95524,286572,35,92,63,96,81,88,20,87.5,88.2,,100,5,89,38,100,62,62,38,0,0,88.2,82,1,2.8,47,2867,50,18,12.88,0.2,768978,0,0,87,81,,1.7,46,121.1,25.1,21.7,3.3,46,1.9,1.31,44.7,100,10
3,1172,88,2.9,2.9,1.6,4.6,88125,2,97,0,1066,1066,14,0,63,89,60,60,22,73.7,73.7,81.8,100,5,91,28,0,0,0,0,11.8,17.7,70.6,73,5,1.4,54,2835,32,10,4.16,0.4,224936,0,0,92,97,,1.6,4.9,40.4,25.1,20.2,13.1,78,2,1.02,37.2,8,
3,1204,1.9,91.6,0.2,1.3,5,13226,51,81,3.15,12961,1607199,52,89,12,68,99,100,15,33.3,15.1,10,57,22,75,7,96,17,18,95,6.6,23,63.9,61,45,1.8,15,866,52,57,0,0,,1.52,46,5,100,253,13.4,52.1,416.6,78.4,45.4,10.7,47,1.7,1.25,61.6,100,66
4,1599,94.8,1.3,1.3,1.3,1.4,115156,1,92,0.78,3742,7484,33,31,78,100,54,57,21,88.7,93.2,80,100,4,92,36,26,24,4,21,0,8.7,89.1,79,2,1.8,84,3025,45,5,11.7,0,455557,0,0,92,86,2025,0.6,7.2,37.2,26.4,29.4,1.3,58,1.8,1.21,27.8,62,17
4,317,77.6,9.5,0.6,3.2,9.1,60156,7,91,9.21,42513,382621,24,100,54,98,100,100,16,60,40,,,5,89,19,0,100,100,80,,,,,7,2.5,0,,,,0,0,110727,0,0,58,100,872,3,77.2,302.7,35.7,77.2,3.6,55,1.4,1.07,75.7,100,14
5,1259,14.1,29.6,44.6,4.5,7.1,43405,11,96,1.93,87385,699081,21,94,44,90,99,6,20,37.5,28.6,,,7,70,9,62,62,93,0,0,7.1,69.6,57,12,2.4,7,1908,33,29,0,0,,0,0,0,100,888,1.5,45.3,75.7,9.7,13.4,2.2,72,1.4,1.17,22.7,100,28
2,1787,32.3,47.4,3.4,2.7,14.2,43176,31,83,0.11,36600,256199,35,0,4,63,65,65,13,33.3,20.2,33.3,78,20,85,13,0,32,35,0,3.5,10.5,57.9,73,32,0.9,83,1300,41,36,1.08,1.7,82783,3.08,0,74,100,674,4.6,26.2,116.7,84.5,20.7,14.9,77,1.6,1.13,27,28,
1,1657,62.8,20.4,2.8,2.3,11.8,40785,18,84,0,20990,860600,40,0,22,87,0,0,10,48.8,47.4,60,83,11,76,4,0,0,0,2,9.4,5.7,71.7,72,21,0.4,96,1963,26,20,1.62,2,240167,0.62,0,77,85,799,5.3,48.4,135.3,48.9,2.1,5.9,54,1.5,1.27,24.1,46,16
4,2268,79.5,8.3,2.1,3,7.1,52969,7,94,0.67,8827,273628,25,41,48,98,48,48,21,72.7,57.1,33.3,92,7,57,23,51,32,32,85,0,7.8,78.1,70,9,2.1,64,1926,35,14,2.86,1.1,169106,0.41,0,85,95,1307,0.7,16.5,76,27.7,19.3,8.2,63,1.8,1.1,37.7,61,9
7,1696,10.7,78.7,4,3.2,3.4,25111,40,80,3.29,8017,240497,68,6,10,77,100,100,23,15.9,30.2,35.3,80,21,68,14,0,13,4,100,7.1,14.3,51.8,61,36,3.2,81,1055,63,49,13.57,1.4,125939,8.09,26,35,85,706,14.1,60.6,294,79.6,59,36.8,49,2.1,1.42,92.6,100,38
1,2319,66.7,21.6,4,2.4,5.3,80764,5,92,1.38,48227,5112073,23,0,46,95,79,91,18,55.6,37.5,53.3,95,9,75,22,0,32,19,61,2.2,6.7,82.2,76,7,0.5,90,2419,24,13,0.64,0.7,211665,0.59,0,95,98,1620,2.1,41.3,100.5,62.2,38.8,10.3,63,1.5,1.17,30.9,0,3
4,2494,27.4,47.3,2.4,2.9,20,55597,19,94,0.15,16090,80449,31,0,40,82,78,78,19,51,31.3,39.1,84,12,76,17,0,12,0,14,6.2,13.6,60.5,65,27,1.4,100,1924,25,19,2.84,1.7,133277,0.73,0,71,94,955,1.8,24.3,83.5,54.3,19.3,10.6,78,1.8,1.05,48.2,5,
