cz,cz_name,state,region,division,pop_2000,top_100,urban,rel_mobility,abs_mobility,prob_q1q5,frac_black,racial_seg,income_seg,poverty_seg,affluence_seg,frac_commute_under15,hhi_percap,gini,top1inc_share,gini_bottom99,frac_p25top75,taxrate,gov_exp,inctax_progressive,eitc,sch_exp,tchr_ratio,test_pctile,hs_dropout,colleges_percap,college_tuition,college_gradrate,labor_participation,manufacturing,growth_imports,teen_lfp,migration_in,migration_out,foreign_born,social_capital,frac_religious,crime_rate,frac_single_mothers,frac_divorced,frac_married,inc_growth,Urban or Rural
38501,Moses Lake,WA,West,Pacific,"91,126",0,rural,0,45,0,0,0,0,0,0,0.512,29315,0.365,6.787,0.297,0.587,0.018,4621,0.000,0.000,7.336,20.5,-8.035,,0.011,1641,-0.082,0.624,0.128,0.586,0.005,0.024,0.026,0.182,-0.260,0.442,0.002,0.171,0.086,0.606,-0.007,#REF!
38502,Wenatchee,WA,West,Pacific,"99,219",0,urban,0,45,0,0,0,0,0,0,0.503,36330,0.402,10.772,0.295,0.576,0.018,4553,0.000,0.000,6.269,20.6,-1.827,,0.010,1641,-0.127,0.640,0.071,0.213,0.005,0.023,0.019,0.132,0.221,0.373,0.001,0.172,0.105,0.609,-0.007,#REF!
38601,Spokane,WA,West,Pacific,"608,317",1,urban,0,43,0,0,0,0,0,0,0.348,34286,0.414,10.294,0.311,0.573,0.018,2258,0.000,0.000,5.843,20.9,6.227,0.022,0.012,5682,0.050,0.641,0.106,1.397,0.004,0.029,0.021,0.037,0.371,0.344,0.001,0.212,0.122,0.566,0.002,#REF!
38602,Colville,WA,West,Pacific,"86,890",0,urban,0,42,0,0,0,0,0,0,0.427,29312,0.405,8.849,0.316,0.563,0.013,2834,0.000,0.000,6.828,20.2,-1.219,,,,,0.583,0.089,0.667,0.004,0.030,0.026,0.060,-1.069,0.257,0.001,0.202,0.114,0.592,0.005,#REF!
38700,Longview,WA,West,Pacific,"220,580",0,urban,0,41,0,0,0,0,0,0,0.448,34298,0.379,8.287,0.296,0.576,0.021,3224,0.000,0.000,6.257,20.2,-1.591,-0.006,0.014,1660,-0.110,0.594,0.151,0.390,0.004,0.029,0.025,0.041,-0.039,0.304,0.002,0.227,0.129,0.567,-0.004,#REF!
38801,Portland,OR,West,Pacific,"1,842,889",1,urban,0,41,0,0,0,0,0,0,0.258,41718,0.419,15.800,0.261,0.522,0.031,2861,0.000,1.190,6.704,21.4,-2.673,0.022,0.013,7901,-0.107,0.694,0.155,1.531,0.004,0.027,0.023,0.110,0.165,0.335,0.001,0.193,0.117,0.544,-0.007,#REF!
38802,The Dalles,OR,West,Pacific,"65,297",0,rural,0,43,0,0,0,0,0,0,0.530,32881,0.350,6.761,0.283,0.598,0.026,2931,0.000,1.190,6.744,18.6,-1.692,-0.001,0.015,1440,-0.147,0.621,0.106,0.955,0.005,0.015,0.017,0.091,0.561,0.382,0.001,0.187,0.111,0.611,0.000,#REF!
38901,Eugene,OR,West,Pacific,"936,387",1,urban,0,40,0,0,0,0,0,0,0.381,34589,0.399,10.922,0.289,0.572,0.027,2431,0.000,1.190,6.184,21.1,-3.381,0.015,0.014,5190,0.070,0.639,0.152,1.144,0.004,0.025,0.022,0.077,0.372,0.291,0.001,0.205,0.111,0.545,-0.008,#REF!
38902,Newport,OR,West,Pacific,"68,741",0,rural,0,41,0,0,0,0,0,0,0.490,36264,0.411,7.284,0.338,0.547,0.035,3803,0.000,1.190,6.472,19.4,-4.794,0.022,0.015,1296,-0.123,0.586,0.086,0.561,0.005,0.035,0.028,0.041,-0.573,0.237,0.001,0.242,0.141,0.566,-0.002,#REF!
39000,Yakima,WA,West,Pacific,"255,943",0,urban,0,43,0,0,0,0,0,0,0.427,30403,0.442,10.008,0.342,0.533,0.015,2138,0.000,0.000,7.026,20.9,-10.483,,0.012,2524,0.104,0.622,0.107,0.799,0.004,0.019,0.023,0.154,-0.709,0.377,0.002,0.213,0.094,0.558,-0.007,#REF!
39100,Kennewick,WA,West,Pacific,"332,609",0,urban,0,44,0,0,0,0,0,0,0.453,34510,0.362,8.535,0.276,0.554,0.018,5442,0.000,0.000,6.699,19.6,-4.494,0.007,0.015,7160,-0.043,0.643,0.094,0.812,0.004,0.020,0.018,0.112,-0.220,0.422,0.001,0.190,0.102,0.589,-0.007,#REF!
39201,La Grande,OR,West,Pacific,"41,271",0,rural,0,45,0,0,0,0,0,0,0.645,31277,0.361,7.199,0.289,0.612,0.025,2002,0.000,1.190,6.108,18.4,4.022,-0.015,0.024,2316,-0.049,0.590,0.118,1.051,0.004,0.015,0.019,0.023,0.533,0.335,0.001,0.201,0.113,0.594,0.008,#REF!
39202,Enterprise,OR,West,Pacific,"7,226",0,rural,0,48,0,0,0,0,0,0,0.644,34762,0.558,30.487,0.254,0.623,0.016,3575,0.000,1.190,6.280,15.6,13.774,-0.038,,,,0.607,0.109,0.124,0.006,0.010,0.014,0.008,0.203,0.374,0.000,0.177,0.103,0.637,0.000,#REF!
39203,Bend,OR,West,Pacific,"153,558",0,urban,0,41,0,0,0,0,0,0,0.474,37787,0.441,11.325,0.327,0.570,0.029,2574,0.000,1.190,6.638,20.9,-1.345,0.003,0.007,2169,-0.270,0.643,0.130,0.366,0.005,0.058,0.028,0.037,0.325,0.274,0.001,0.184,0.112,0.616,0.002,#REF!
39204,Condon,OR,West,Pacific,"3,462",0,rural,,,0,0,0,0,0,0,0.546,33476,0.240,,,,0.033,3587,0.000,1.190,9.289,11.8,,,,,,0.599,0.029,0.003,,,,0.019,0.336,0.344,0.000,0.137,0.117,0.633,0.005,#REF!
39205,John Day,OR,West,Pacific,"7,935",0,rural,0,50,0,0,0,0,0,0,0.579,32736,0.311,4.400,0.267,0.584,0.013,3429,0.000,1.190,7.887,15.1,12.204,-0.039,,,,0.615,0.099,0.083,0.005,0.003,0.015,0.015,0.208,0.331,0.000,0.195,0.108,0.628,0.008,#REF!
39301,Friday Harbor,WA,West,Pacific,"14,077",0,rural,0,39,0,0,0,0,0,0,0.628,58628,0.796,60.527,0.190,0.560,0.018,2971,0.000,0.000,6.766,18.3,-3.884,,,,,0.587,0.063,0.821,0.007,0.024,0.021,0.060,2.716,0.171,0.000,0.219,0.148,0.604,-0.010,#REF!
39302,Bellingham,WA,West,Pacific,"166,814",0,urban,0,44,0,0,0,0,0,0,0.418,35491,0.416,12.245,0.294,0.564,0.021,2615,0.000,0.000,5.912,21.1,5.120,,0.024,2682,0.186,0.665,0.122,1.324,0.005,0.034,0.028,0.098,0.063,0.294,0.001,0.195,0.099,0.538,-0.007,#REF!
39303,Port Angeles,WA,West,Pacific,"90,478",0,rural,0,41,0,0,0,0,0,0,0.486,39625,0.414,12.848,0.285,0.575,0.015,3201,0.000,0.000,6.609,19.5,3.012,,0.011,1641,-0.183,0.522,0.077,0.165,0.004,0.034,0.021,0.043,0.476,0.260,0.001,0.235,0.124,0.598,0.000,#REF!
39400,Seattle,WA,West,Pacific,"3,775,744",1,urban,0,43,0,0,0,0,0,0,0.240,44591,0.424,18.700,0.237,0.514,0.021,3024,0.000,0.000,6.604,21.0,-0.108,,0.010,5596,0.038,0.682,0.130,0.677,0.004,0.023,0.022,0.113,-0.125,0.323,0.002,0.195,0.116,0.544,-0.002,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
